Date,Open,High,Low,Close,Adj Close,Volume
2016-03-22,376.950012,381.5,370.399994,377.200012,377.047302,8909026
2016-03-23,378.0,379.450012,374.049988,377.0,376.847382,5766182
2016-03-28,375.5,375.5,361.5,363.299988,363.152924,8062793
2016-03-29,364.0,378.950012,363.049988,372.450012,372.299225,9364810
2016-03-30,380.5,391.5,376.799988,388.600006,388.442688,10295891
2016-03-31,387.899994,393.600006,380.5,386.600006,386.443512,10738707
2016-04-01,386.399994,386.399994,377.700012,379.649994,379.496307,5683771
2016-04-04,385.950012,391.0,382.399994,388.399994,388.242767,6011729
2016-04-05,386.0,386.0,369.0,370.5,370.350006,6058241
2016-04-06,373.700012,382.399994,372.049988,376.700012,376.547516,7323269
2016-04-07,375.950012,384.799988,370.299988,375.200012,375.048126,8724110
2016-04-08,375.5,380.049988,370.5,371.450012,371.299622,4860484
2016-04-11,373.950012,387.799988,373.899994,386.649994,386.493469,6827449
2016-04-12,387.950012,397.399994,387.149994,395.799988,395.63974,7702684
2016-04-13,400.0,411.75,398.149994,408.75,408.584534,12373115
2016-04-18,407.649994,409.899994,402.5,407.350006,407.185089,5571076
2016-04-20,407.0,410.350006,400.649994,404.100006,403.936401,7589901
2016-04-21,408.700012,417.200012,406.0,411.5,411.333405,9211869
2016-04-22,412.100006,420.5,408.0,417.0,416.831177,5995998
2016-04-25,417.600006,417.600006,410.0,412.200012,412.033142,3272996
2016-04-26,408.649994,423.649994,405.049988,419.049988,418.880341,6998505
2016-04-27,418.950012,425.25,414.649994,418.549988,418.380554,6227941
2016-04-28,418.799988,420.950012,409.700012,411.350006,411.183472,7546101
2016-04-29,410.0,413.700012,403.049988,408.350006,408.184692,6251095
2016-05-02,407.950012,410.450012,402.5,407.700012,407.534973,4178821
2016-05-03,410.899994,422.0,407.799988,409.649994,409.484161,9620804
2016-05-04,405.5,405.5,380.100006,381.799988,381.645416,12069134
2016-05-05,384.0,396.049988,383.149994,391.149994,390.991638,9601341
2016-05-06,388.600006,400.899994,384.5,398.700012,398.538605,9953672
2016-05-09,400.350006,405.200012,395.149994,403.350006,403.186707,8700283
2016-05-10,400.799988,400.799988,387.149994,388.950012,388.792542,9166453
2016-05-11,384.799988,391.950012,376.100006,379.850006,379.696228,11595875
2016-05-12,379.0,388.600006,379.0,387.049988,386.893311,6506343
2016-05-13,391.25,394.0,385.5,389.950012,389.792145,14027896
2016-05-16,393.799988,396.700012,389.0,392.700012,392.541046,8248193
2016-05-17,392.600006,395.0,386.600006,389.700012,389.542236,9425555
2016-05-18,383.5,387.350006,381.600006,384.850006,384.694214,8589315
2016-05-19,386.25,393.299988,381.950012,386.899994,386.743378,10988676
2016-05-20,386.700012,392.700012,383.5,384.450012,384.294373,6537509
2016-05-23,388.549988,389.950012,380.100006,381.75,381.595459,8153090
2016-05-24,383.799988,391.75,382.649994,389.100006,388.942474,10568106
2016-05-25,394.0,399.950012,394.0,397.0,396.839294,8897382
2016-05-26,400.5,402.0,396.75,399.25,399.088379,8469732
2016-05-27,400.0,405.0,396.0,403.899994,403.736481,9035525
2016-05-30,404.799988,423.600006,401.299988,421.25,421.079468,15767133
2016-05-31,456.0,464.899994,445.0,459.649994,459.463898,110744326
2016-06-01,455.75,458.299988,445.0,449.200012,449.018158,10389215
2016-06-02,444.100006,460.5,444.100006,453.450012,453.266449,13674434
2016-06-03,458.049988,461.799988,452.5,453.950012,453.7662349999999,11672544
2016-06-06,457.799988,465.0,450.200012,460.5,460.313568,9356808
2016-06-07,466.450012,466.450012,459.0,463.049988,462.862518,12568902
2016-06-08,465.5,468.799988,463.200012,466.149994,465.9612730000001,10467158
2016-06-09,469.450012,470.25,465.0,467.149994,466.960876,8525017
2016-06-10,466.75,466.75,454.5,456.950012,456.7650150000001,7039858
2016-06-13,451.0,451.399994,436.700012,444.25,444.07016,9507282
2016-06-14,446.899994,453.850006,441.149994,448.399994,448.218475,9615226
2016-06-15,449.899994,453.0,447.25,452.100006,451.916992,5704865
2016-06-16,449.700012,455.5,446.049988,454.350006,454.166077,7255454
2016-06-17,461.0,465.75,457.299988,464.399994,464.211975,7836702
2016-06-20,464.75,484.200012,460.25,482.049988,481.854828,9261350
2016-06-21,484.0,486.200012,477.600006,484.899994,484.703674,8907801
2016-06-22,483.049988,484.799988,468.049988,472.700012,472.508636,7660165
2016-06-23,476.100006,489.899994,476.100006,487.950012,487.752472,9628216
2016-06-24,439.200012,453.75,421.25,449.399994,449.2180480000001,40998600
2016-06-27,451.799988,457.25,443.600006,448.950012,448.76825,12450283
2016-06-28,448.0,448.0,433.0,440.399994,440.22171,10190394
2016-06-29,447.100006,449.799988,445.399994,447.25,447.0689389999999,6285461
2016-06-30,454.299988,462.25,451.549988,459.25,459.064087,13214064
2016-07-01,463.600006,464.75,454.700012,457.899994,457.71463,7027759
2016-07-04,467.0,474.850006,467.0,469.5,469.309937,8413087
2016-07-05,468.5,469.0,459.5,460.899994,460.713409,4934087
2016-07-07,460.950012,465.450012,454.100006,455.149994,454.965729,6580663
2016-07-08,464.299988,468.200012,462.649994,466.299988,466.111206,9263727
2016-07-11,472.100006,486.799988,472.100006,484.600006,484.403809,10477166
2016-07-12,486.0,488.649994,481.100006,484.299988,484.103912,6767972
2016-07-13,485.950012,488.100006,477.950012,481.100006,480.905243,5855718
2016-07-14,480.100006,489.299988,478.950012,486.100006,485.903229,5983007
2016-07-15,480.0,501.700012,479.649994,494.0,493.800018,8889558
2016-07-18,495.0,505.0,490.0,492.649994,492.649994,7463954
2016-07-19,493.899994,503.5,493.450012,499.25,499.25,7665519
2016-07-20,496.299988,502.450012,492.450012,493.899994,493.899994,5697901
2016-07-21,498.450012,500.0,489.700012,491.049988,491.049988,3658371
2016-07-22,494.450012,508.450012,493.5,507.200012,507.200012,5588143
2016-07-25,505.5,510.950012,503.350006,509.0,509.0,4638151
2016-07-26,506.049988,513.349976,502.100006,503.25,503.25,6187499
2016-07-27,507.75,513.049988,505.5,510.100006,510.100006,5193425
2016-07-28,510.0,511.899994,498.75,506.850006,506.850006,6338260
2016-07-29,507.799988,510.5,501.100006,503.200012,503.200012,3746332
2016-08-01,506.799988,514.900024,505.5,508.25,508.25,4748497
2016-08-02,510.0,511.200012,491.149994,493.299988,493.299988,5251838
2016-08-03,494.5,499.5,475.5,478.399994,478.399994,7925049
2016-08-04,490.100006,501.450012,488.600006,500.0,500.0,9476008
2016-08-05,507.200012,518.700012,502.149994,516.400024,516.400024,6393514
2016-08-08,518.200012,522.599976,513.400024,514.799988,514.799988,4649302
2016-08-09,521.0,522.0,509.200012,513.799988,513.799988,6015760
2016-08-10,515.599976,516.5,502.299988,503.450012,503.450012,6371139
2016-08-11,503.75,505.0,495.100006,503.25,503.25,4112806
2016-08-12,506.899994,519.5,506.149994,516.799988,516.799988,7167435
2016-08-16,512.950012,515.0,503.299988,507.600006,507.600006,6034295
2016-08-17,511.100006,514.25,505.850006,510.399994,510.399994,5853980
2016-08-18,512.400024,517.900024,510.75,512.049988,512.049988,4990558
2016-08-19,514.0,515.0,508.200012,510.0,510.0,4567273
2016-08-22,509.100006,513.599976,503.100006,503.950012,503.950012,4330313
2016-08-23,505.25,508.600006,500.450012,504.0,504.0,5342115
2016-08-24,504.700012,506.049988,493.600006,498.350006,498.350006,5189459
2016-08-25,498.350006,503.299988,491.299988,493.850006,493.850006,8787262
2016-08-26,502.0,515.349976,486.0,503.75,503.75,16347856
2016-08-29,522.5,528.75,515.400024,525.299988,525.299988,12534399
2016-08-30,528.5,530.799988,524.099976,529.0,529.0,6611147
2016-08-31,529.0,548.799988,529.0,537.700012,537.700012,15725942
2016-09-01,540.5,546.650024,540.0,543.650024,543.650024,7571854
2016-09-02,552.0,555.900024,549.099976,549.849976,549.849976,10097146
2016-09-06,556.349976,593.299988,556.349976,588.700012,588.700012,15813178
2016-09-07,590.0,598.400024,584.0,587.400024,587.400024,13408927
2016-09-08,590.75,591.700012,577.75,584.200012,584.200012,10456258
2016-09-09,580.0,582.950012,571.700012,573.25,573.25,7159068
2016-09-12,551.0,560.0,549.25,553.450012,553.450012,7055294
2016-09-14,556.25,565.349976,544.099976,560.5,560.5,12364724
2016-09-15,562.0,566.25,555.400024,557.549988,557.549988,5258859
2016-09-16,562.400024,568.200012,546.349976,548.700012,548.700012,10931845
2016-09-19,553.799988,556.400024,549.450012,554.450012,554.450012,6979269
2016-09-20,555.0,556.299988,545.5,548.450012,548.450012,6874462
2016-09-21,548.599976,556.400024,544.0,549.900024,549.900024,5919149
2016-09-22,561.200012,562.950012,551.349976,558.450012,558.450012,6012388
2016-09-23,558.5,558.5,551.200012,553.049988,553.049988,4840360
2016-09-26,549.950012,549.950012,533.75,535.299988,535.299988,6858574
2016-09-27,537.700012,542.0,530.25,531.950012,531.950012,4912743
2016-09-28,533.0,545.400024,531.5,540.0,540.0,6604953
2016-09-29,543.0,546.900024,516.650024,526.299988,526.299988,9315794
2016-09-30,525.599976,536.549988,521.200012,534.849976,534.849976,5659248
2016-10-03,539.400024,546.0,539.0,540.799988,540.799988,4505939
2016-10-04,547.400024,552.400024,540.650024,549.950012,549.950012,5715454
2016-10-05,555.299988,562.400024,549.75,559.650024,559.650024,5929204
2016-10-06,563.099976,564.200012,549.099976,551.450012,551.450012,4273945
2016-10-07,554.5,567.299988,552.599976,565.700012,565.700012,9122002
2016-10-10,571.099976,571.099976,560.900024,562.049988,562.049988,3673211
2016-10-13,556.900024,556.900024,537.0,544.849976,544.849976,9510827
2016-10-14,546.0,557.450012,545.0,556.099976,556.099976,5872827
2016-10-17,557.849976,557.849976,545.900024,547.549988,547.549988,3463154
2016-10-18,549.200012,556.0,549.200012,554.25,554.25,3965424
2016-10-19,552.049988,554.900024,545.049988,550.5,550.5,4275157
2016-10-20,553.049988,554.0,546.0,546.849976,546.849976,2770011
2016-10-21,549.0,550.0,541.5,544.5,544.5,2789747
2016-10-24,544.0,564.0,543.549988,559.799988,559.799988,5161299
2016-10-25,549.849976,561.0,549.099976,553.799988,553.799988,5690576
2016-10-26,548.0,548.0,523.150024,530.049988,530.049988,6665017
2016-10-27,515.599976,525.75,510.75,522.0,522.0,18470182
2016-10-28,527.0,539.950012,525.099976,537.0,537.0,5665910
2016-11-01,534.400024,537.900024,525.049988,530.599976,530.599976,6848662
2016-11-02,522.599976,526.0,512.349976,513.299988,513.299988,4750117
2016-11-03,509.799988,521.450012,505.200012,510.200012,510.200012,6909458
2016-11-04,509.25,516.349976,501.600006,512.299988,512.299988,7564243
2016-11-07,513.0,521.299988,505.049988,506.350006,506.350006,5507954
2016-11-08,518.400024,543.0,517.0,540.200012,540.200012,12739083
2016-11-09,501.149994,544.0,500.0,533.5,533.5,10276017
2016-11-10,536.0,549.349976,531.5,533.700012,533.700012,6906437
2016-11-11,526.5,530.0,505.0,507.299988,507.299988,7823667
2016-11-15,484.899994,484.899994,453.0,457.399994,457.399994,15356070
2016-11-16,468.450012,471.700012,450.0,458.450012,458.450012,10855618
2016-11-17,460.0,476.0,459.649994,472.850006,472.850006,8949767
2016-11-18,469.899994,473.850006,461.850006,471.25,471.25,7246244
2016-11-21,468.0,472.799988,451.5,456.950012,456.950012,7325876
2016-11-22,464.049988,471.0,453.299988,464.850006,464.850006,6644867
2016-11-23,467.0,475.299988,462.0,471.5,471.5,6727083
2016-11-24,466.350006,466.350006,449.700012,452.950012,452.950012,8046995
2016-11-25,454.100006,456.350006,443.149994,452.350006,452.350006,7426347
2016-11-28,451.25,460.0,450.5,454.700012,454.700012,5025929
2016-11-29,455.0,466.299988,451.350006,459.850006,459.850006,8570549
2016-11-30,460.0,463.799988,455.100006,459.299988,459.299988,8377510
2016-12-01,457.0,457.700012,446.899994,448.200012,448.200012,7706825
2016-12-02,445.0,453.5,431.149994,432.899994,432.899994,10450654
2016-12-05,436.0,441.0,428.299988,439.299988,439.299988,8211182
2016-12-06,441.0,445.899994,438.100006,441.100006,441.100006,4209420
2016-12-07,440.0,449.200012,439.25,445.350006,445.350006,5559803
2016-12-08,451.200012,464.399994,451.200012,461.549988,461.549988,8176055
2016-12-09,464.950012,468.549988,460.600006,464.100006,464.100006,5690877
2016-12-12,461.950012,461.950012,451.049988,454.399994,454.399994,3837786
2016-12-13,476.799988,486.25,462.25,470.649994,470.649994,63880404
2016-12-14,470.200012,476.799988,462.649994,472.350006,472.350006,7660437
2016-12-15,464.0,473.600006,462.5,463.200012,463.200012,6539067
2016-12-16,465.0,474.899994,464.200012,473.149994,473.149994,9015744
2016-12-19,470.899994,478.549988,465.5,471.799988,471.799988,5445624
2016-12-20,473.0,475.0,469.100006,473.149994,473.149994,3690160
2016-12-21,473.5,474.5,467.100006,468.5,468.5,3492856
2016-12-22,468.149994,472.950012,464.799988,469.600006,469.600006,5436494
2016-12-23,464.950012,468.299988,460.0,465.649994,465.649994,3957854
2016-12-26,465.5,465.5,455.600006,457.850006,457.850006,3282425
2016-12-27,460.0,468.75,457.399994,466.950012,466.950012,3164664
2016-12-28,467.0,468.649994,462.0,463.350006,463.350006,3772181
2016-12-29,462.75,472.700012,459.350006,470.899994,470.899994,4763171
2016-12-30,471.0,475.0,467.5,472.0,472.0,3605555
